"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","입소정원","자격소유인원수","총인원수","인허가번호","상세영업상태명"
"1477","자양3동경로당","서울특별시 광진구 자양동 582-19번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900010","운영"
"1476","신양경로당","서울특별시 광진구 자양동 514-39번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900009","운영"
"1475","자양1동경로당","서울특별시 광진구 자양동 804-10번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900008","운영"
"1474","일신아파트경로당","서울특별시 광진구 광장동 148-4번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900007","운영"
"1473","광장극동아파트경로당","서울특별시 광진구 광장동 218-1번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900006","운영"
"1472","구의경로당","서울특별시 광진구 구의동 230-4번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900005","운영"
"1471","능동경로당","서울특별시 광진구 능동 369-14번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900004","운영"
"1470","용마경로당","서울특별시 광진구 중곡동 169-81번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900003","운영"
"1469","한마음경로당","서울특별시 광진구 중곡동 51-27번지 ","","19890615","운영중","","","","","","","0","0","0","3040000198900002","운영"
"1468","구의1동제2경로당","서울특별시 광진구 구의동 634-15번지 ","","19981115","운영중","","","","","","","0","0","0","3040000199800007","운영"
"1467","대원경로당","서울특별시 광진구 중곡동 85-28번지 ","","19980215","운영중","","","","","","","0","0","0","3040000199800006","운영"
"1466","중곡3동경로당","서울특별시 광진구 중곡동 503-328번지 ","","19980815","운영중","","","","","","","0","0","0","3040000199800005","운영"
"1465","광장청구아파트 경로당","서울특별시 광진구 광장동 566번지 ","","19970105","운영중","","","","","","","20","0","0","3040000199700029","운영"
"1464","한라아파트경로당","서울특별시 광진구 자양동 762번지 ","","19970515","운영중","","","","","","","0","0","0","3040000199700002","운영"
"1463","일성파크아파트경로당","서울특별시 광진구 군자동 99번지 ","","19961115","운영중","","","","","","","0","0","0","3040000199600003","운영"
"1462","광나루현대아파트경로당","서울특별시 광진구 광장동 567번지 ","","19960915","운영중","","","","","","","0","0","0","3040000199600002","운영"
"1461","한강우성아파트경로당","서울특별시 광진구 자양동 87-1번지 ","","19950203","운영중","","","","","","","0","0","0","3040000199500019","운영"
"1460","한강우성아파트 경로당","서울특별시 광진구 자양동 87-1번지 ","","19950201","운영중","","","","","","","0","0","43","3040000199500017","운영"
"1459","자양제1경로당","서울특별시 광진구 자양동 651-50번지 ","","19950501","운영중","","","","","","","0","0","0","3040000199500013","운영"
"1458","모진 경로당","서울특별시 광진구 화양동 431-5번지 ","","19950515","운영중","","","","","","","0","0","0","3040000199500009","운영"
"1457","자양현대3차아파트경로당","서울특별시 광진구 자양동 671번지 ","","19951015","운영중","","","","","","","0","0","0","3040000199500008","운영"
"1456","쌍용아파트경로당","서울특별시 도봉구 창동 181-17번지 ","","19970301","운영중","","","","","","","55","0","0","3090000199700051","운영"
"1455","금용아파트경로당","서울특별시 도봉구 창동 809번지 ","","19970901","운영중","","","","","","","45","0","0","3090000199700050","운영"
"1454","서원아파트경로당","서울특별시 도봉구 도봉동 18-2번지 ","","19970201","운영중","","","","","","","45","0","0","3090000199700049","운영"
"1453","벽산아파트경로당","서울특별시 도봉구 방학동 496번지 ","","19970401","운영중","","","","","","","20","0","0","3090000199700048","운영"
"1452","윗들경로당","서울특별시 도봉구 방학동 717-1번지 ","","19971201","운영중","","","","","","","40","0","0","3090000199700047","운영"
"1451","쌍문4동경로당","서울특별시 도봉구 쌍문동 137-112번지 ","","19970101","운영중","","","","","","","31","0","0","3090000199700046","운영"
"1450","염광아파트경로당","서울특별시 도봉구 쌍문동 722번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800003","운영"
"1449","현대2차아파트경로당","서울특별시 도봉구 창동 815번지 208 208동 2501호","","20010901","운영중","","","","","","","73","0","0","3090000200700031","운영"
"1448","우이그린빌라경로당","서울특별시 도봉구 쌍문동 486-18번지 ","","20071204","운영중","","","","","","","0","0","0","3090000200700030","운영"
"1447","신동아1차아파트제2경로당","서울특별시 도봉구 방학동 271-4번지 3 3동 ","","20051222","운영중","","","","","","","33","1","1","3090000200500045","운영"
"1446","대림아파트경로당","서울특별시 도봉구 창동 822번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800031","운영"
"1445","금호어울림아파트경로당","서울특별시 도봉구 창동 823번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800030","운영"
"1444","주공19경로당","서울특별시 도봉구 창동 33번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800029","운영"
"1443","창동4차아이파크아파트경로당","서울특별시 도봉구 창동 818번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800028","운영"
"1442","만수정(성원아파트)경로당","서울특별시 도봉구 창동 743번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800027","운영"
"1441","한승미메이드아파트경로당","서울특별시 도봉구 창동 824번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800026","운영"
"1440","한신아파트경로당","서울특별시 도봉구 창동 451번지 ","","20080108","운영중","","","","","","","0","0","0","3090000200800025","운영"
"1439","광장현대8차아파트경로당","서울특별시 광진구 광장동 565번지 ","","19950815","운영중","","","","","","","0","0","0","3040000199500007","운영"
