Unnamed: 0,역이름,y,x,호선,geometry,시도,구,동
293,성환,36.916076,127.126964,['01호선'],POINT (127.126964 36.916076),충청남도,천안시,서북구
294,직산,36.870593,127.143904,['01호선'],POINT (127.143904 36.870593),충청남도,천안시,서북구
295,두정,36.833705,127.14896,['01호선'],POINT (127.14896 36.833705),충청남도,천안시,서북구
296,천안,36.810005,127.146826,['01호선'],POINT (127.146826 36.810005),충청남도,천안시,동남구
297,당정,37.344285,126.948345,['01호선'],POINT (126.948345 37.344285),경기도,군포시,당정동
298,서동탄,37.195504,127.051672,['01호선'],POINT (127.051672 37.195504),경기도,오산시,외삼미동
299,광명,37.416182,126.884466,['01호선'],POINT (126.884466 37.416182),경기도,광명시,일직동
300,산본,37.358101,126.933274,['04호선'],POINT (126.933274 37.358101),경기도,군포시,산본동
301,대야미,37.328467,126.917332,['04호선'],POINT (126.917332 37.328467),경기도,군포시,대야미동
302,반월,37.312212,126.903524,['04호선'],POINT (126.903524 37.312212),경기도,안산시,상록구
303,상록수,37.302795,126.866489,['04호선'],POINT (126.866489 37.302795),경기도,안산시,상록구
304,한대앞,37.309689,126.85344,"['04호선', '수인분당선']",POINT (126.85344 37.309689),경기도,안산시,상록구
305,중앙,37.315941,126.838573,"['04호선', '수인분당선']",POINT (126.838573 37.315941),경기도,안산시,단원구
306,고잔,37.316777,126.823249,"['04호선', '수인분당선']",POINT (126.823249 37.316777),경기도,안산시,단원구
307,초지,37.320646,126.805913,"['04호선', '서해선', '수인분당선']",POINT (126.805913 37.320646),경기도,안산시,단원구
308,안산,37.327082,126.788532,"['04호선', '수인분당선']",POINT (126.788532 37.327082),경기도,안산시,단원구
309,신길온천,37.338212,126.765844,"['04호선', '수인분당선']",POINT (126.765844 37.338212),경기도,안산시,단원구
310,정왕,37.351735,126.742989,"['04호선', '수인분당선']",POINT (126.742989 37.351735),경기도,시흥시,정왕동
311,수리산,37.349801,126.925365,['04호선'],POINT (126.925365 37.349801),경기도,군포시,산본동
312,개봉,37.494594,126.85868,['01호선'],POINT (126.85868 37.494594),서울특별시,구로구,개봉동
313,오류동,37.494526,126.845365,['01호선'],POINT (126.845365 37.494526),서울특별시,구로구,오류동
314,역곡,37.485178,126.811502,['01호선'],POINT (126.811502 37.485178),경기도,부천시,원미구
315,부천,37.48405,126.782686,['01호선'],POINT (126.782686 37.48405),경기도,부천시,소사구
316,송내,37.4876,126.753664,['01호선'],POINT (126.753664 37.4876),경기도,부천시,소사구
317,백운,37.483664,126.707704,['01호선'],POINT (126.707704 37.483664),인천광역시,부평구,십정동
318,동암,37.471408,126.702896,['01호선'],POINT (126.702896 37.471408),인천광역시,부평구,십정동
319,제물포,37.466769,126.656666,['01호선'],POINT (126.656666 37.466769),인천광역시,미추홀구,도화동
320,동인천,37.475276,126.632802,['01호선'],POINT (126.632802 37.475276),인천광역시,중구,인현동
