,역이름,y,x,호선,geometry
258,대공원,37.435675,127.006523,['04호선'],POINT (127.006523 37.435675)
259,과천,37.433021,126.996568,['04호선'],POINT (126.996568 37.433021)
260,정부과천청사,37.426513,126.98978,['04호선'],POINT (126.98978 37.426513)
261,인덕원,37.401553,126.976715,['04호선'],POINT (126.976715 37.401553)
262,평촌,37.394287,126.963883,['04호선'],POINT (126.963883 37.394287)
263,범계,37.389793,126.950806,['04호선'],POINT (126.950806 37.389793)
264,삼동,37.409522,127.20336,['경강선'],POINT (127.20336 37.409522)
265,경기광주,37.399907,126.630347,['경강선'],POINT (126.630347 37.399907)
266,초월,37.374419,127.299,['경강선'],POINT (127.299 37.374419)
267,곤지암,37.351315,127.34674,['경강선'],POINT (127.34674 37.351315)
268,신둔도예촌,37.317185,127.40476,['경강선'],POINT (127.40476 37.317185)
269,이천,37.265579,127.44226,['경강선'],POINT (127.44226 37.265579)
270,부발,37.260192,127.490277,['경강선'],POINT (127.490277 37.260192)
271,세종대왕릉,37.295309,127.570938,['경강선'],POINT (127.570938 37.295309)
272,여주,37.282701,127.628607,['경강선'],POINT (127.628607 37.282701)
273,구로,37.503039,126.881966,['01호선'],POINT (126.881966 37.503039)
274,금천구청,37.455626,126.89398,['01호선'],POINT (126.89398 37.455626)
275,석수,37.435047,126.902295,['01호선'],POINT (126.902295 37.435047)
276,관악,37.419232,126.908706,['01호선'],POINT (126.908706 37.419232)
277,안양,37.401592,126.922874,['01호선'],POINT (126.922874 37.401592)
278,명학,37.384653,126.935433,['01호선'],POINT (126.935433 37.384653)
279,군포,37.35356,126.948462,['01호선'],POINT (126.948462 37.35356)
280,의왕,37.320852,126.948217,['01호선'],POINT (126.948217 37.320852)
281,화서,37.283862,126.989627,['01호선'],POINT (126.989627 37.283862)
282,독산,37.466613,126.889249,['01호선'],POINT (126.889249 37.466613)
283,세류,37.245025,127.013222,['01호선'],POINT (127.013222 37.245025)
284,병점,37.207503,127.032731,['01호선'],POINT (127.032731 37.207503)
285,세마,37.187533,127.04318,['01호선'],POINT (127.04318 37.187533)
286,오산대,37.168953,127.063197,['01호선'],POINT (127.063197 37.168953)
287,오산,37.145885,127.06672,['01호선'],POINT (127.06672 37.145885)
288,진위,37.109447,127.062278,['01호선'],POINT (127.062278 37.109447)
289,송탄,37.075696,127.054301,['01호선'],POINT (127.054301 37.075696)
290,서정리,37.056496,127.052819,['01호선'],POINT (127.052819 37.056496)
292,평택,36.990726,127.085159,['01호선'],POINT (127.085159 36.990726)
293,성환,36.916076,127.126964,['01호선'],POINT (127.126964 36.916076)
